"filename", "language", "SCSS", "JavaScript", "JSON", "Markdown", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\source\codeworks\710\710.server\.eslintrc.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\source\codeworks\710\710.server\Setup.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 1, 9, 86
"c:\source\codeworks\710\710.server\client\@types\Auth0Provider.d.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 20, 16, 86
"c:\source\codeworks\710\710.server\client\@types\Axios.d.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\source\codeworks\710\710.server\client\app\AppState.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\source\codeworks\710\710.server\client\app\AuthConfig.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\source\codeworks\710\710.server\client\app\Controllers\AuthController.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 8, 66
"c:\source\codeworks\710\710.server\client\app\Services\AccountService.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\source\codeworks\710\710.server\client\app\Services\AuthService.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\source\codeworks\710\710.server\client\app\Services\AxiosService.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\source\codeworks\710\710.server\client\app\Utils\EventEmitter.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 14, 2, 46
"c:\source\codeworks\710\710.server\client\app\Utils\isValidProp.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\source\codeworks\710\710.server\client\app\main.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\source\codeworks\710\710.server\client\assets\scss\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\source\codeworks\710\710.server\client\assets\scss\_variables.scss", "SCSS", 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\source\codeworks\710\710.server\client\assets\scss\custom.scss", "SCSS", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\source\codeworks\710\710.server\client\assets\scss\loaders.scss", "SCSS", 75, 0, 0, 0, 0, 0, 0, 0, 4, 79
"c:\source\codeworks\710\710.server\client\assets\scss\main.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\source\codeworks\710\710.server\client\assets\style\main.css", "CSS", 0, 0, 0, 0, 0, 0, 9108, 7, 1584, 10699
"c:\source\codeworks\710\710.server\client\index.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 4, 63
"c:\source\codeworks\710\710.server\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 2, 1, 6
"c:\source\codeworks\710\710.server\package-lock.json", "JSON", 0, 0, 8568, 0, 0, 0, 0, 0, 1, 8569
"c:\source\codeworks\710\710.server\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\source\codeworks\710\710.server\readme.md", "Markdown", 0, 0, 0, 114, 0, 0, 0, 0, 29, 143
"c:\source\codeworks\710\710.server\server\Startup.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 5, 7, 71
"c:\source\codeworks\710\710.server\server\controllers\AccountController.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\source\codeworks\710\710.server\server\controllers\MaintenanceController.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 7, 69
"c:\source\codeworks\710\710.server\server\controllers\RecordsController.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"c:\source\codeworks\710\710.server\server\controllers\VehiclesController.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 2, 10, 96
"c:\source\codeworks\710\710.server\server\db\DbConfig.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\source\codeworks\710\710.server\server\db\DbContext.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
